iter	RMSE
0	2.53578852
1	2.495364086
2	2.46038723
3	2.425147967
4	2.398553877
5	2.368770525
6	2.339384232
7	2.31335964
8	2.288316321
9	2.264057176
10	2.241818359
11	2.220177931
12	2.202465916
13	2.183759801
14	2.16692503
15	2.150925115
16	2.134811738
17	2.12088355
18	2.108126888
19	2.095648142
20	2.083364772
21	2.072733708
22	2.062544995
23	2.05268223
24	2.043582581
25	2.035805687
26	2.027611015
27	2.019336814
28	2.01198526
29	2.00549375
30	1.999471427
31	1.993566356
32	1.988853191
33	1.983486248
34	1.97792794
35	1.973447399
36	1.969248773
37	1.965250403
38	1.961373104
39	1.957832781
40	1.954514573
41	1.951552105
42	1.948580273
43	1.945853298
44	1.942765949
45	1.939851198
46	1.937028555
47	1.934093603
48	1.931843625
49	1.929414571
50	1.926714437
51	1.923800184
52	1.921740965
53	1.91956243
54	1.917557849
55	1.916844393
56	1.915391417
57	1.913761497
58	1.911954371
59	1.909517967
60	1.907246294
61	1.905939178
62	1.904761845
63	1.903222867
64	1.902843017
65	1.901576447
66	1.900764248
67	1.899224001
68	1.897483278
69	1.896218994
70	1.895457765
71	1.89430147
72	1.893449688
73	1.89192704
74	1.890238432
75	1.889090892
76	1.88820802
77	1.886889619
78	1.885933522
79	1.885506113
80	1.884866584
81	1.884063307
82	1.883031443
83	1.882332393
84	1.881774847
85	1.881110783
86	1.880144602
87	1.879665425
88	1.879560179
89	1.878879287
90	1.878533331
91	1.878117269
92	1.876956464
93	1.876367864
94	1.875302396
95	1.874866322
96	1.873682552
97	1.872943032
98	1.87245425
99	1.871858161
100	1.870934529
101	1.86962794
102	1.869450138
103	1.869051016
104	1.868638628
105	1.868037347
106	1.867494141
107	1.867049749
108	1.865662912
109	1.86520875
110	1.864810452
111	1.864064504
112	1.863328189
113	1.863139121
114	1.862037336
115	1.861543749
116	1.861033995
117	1.860279895
118	1.86014923
119	1.859139979
120	1.858731026
121	1.858450654
122	1.857653817
123	1.857108544
124	1.856423695
125	1.855862193
126	1.85557213
127	1.855382368
128	1.854738104
129	1.853770885
130	1.853235028
131	1.852707405
132	1.851963033
133	1.851771128
134	1.850717411
135	1.850224029
136	1.850205554
137	1.850003325
138	1.849850261
139	1.84952187
140	1.848669358
141	1.84851141
142	1.847720959
143	1.846931012
144	1.8468682
145	1.846246
146	1.845830513
147	1.845677399
148	1.845078585
149	1.844505067
150	1.844279829
151	1.843213766
152	1.842902585
153	1.841984965
154	1.841592981
155	1.840171356
156	1.839772545
157	1.838662668
158	1.838087924
159	1.837695853
160	1.836839528
161	1.835971028
162	1.835554441
163	1.835443525
164	1.834813399
165	1.833921167
166	1.833204081
167	1.832590011
168	1.831755854
169	1.83128408
170	1.830574729
171	1.83023903
172	1.8297709
173	1.828885809
174	1.828506667
175	1.827739537
176	1.82737885
177	1.82680451
178	1.826260218
179	1.825531995
180	1.824854039
181	1.824422776
182	1.823563656
183	1.823518006
184	1.822992453
185	1.822136464
186	1.821194516
187	1.820166371
188	1.819914663
189	1.819201836
190	1.818333206
191	1.817791116
192	1.816721667
193	1.816056045
194	1.815590596
195	1.814993376
196	1.814162503
197	1.813617324
198	1.813348987
199	1.812365844
200	1.811567037
201	1.811431664
202	1.810859192
203	1.810327252
204	1.809955876
205	1.809453931
206	1.808846138
207	1.808245943
208	1.807684506
209	1.807111636
210	1.80642117
211	1.805210772
212	1.804326527
213	1.80296087
214	1.801942
215	1.80113108
216	1.800906328
217	1.799884522
218	1.799482993
219	1.79897301
220	1.797999577
221	1.797483386
222	1.796630365
223	1.795942122
224	1.795218287
225	1.794460521
226	1.793720915
227	1.793223063
228	1.792455909
229	1.791501326
230	1.790844447
231	1.790444244
232	1.789369268
233	1.788721411
234	1.788304653
235	1.786500576
236	1.785485158
237	1.78408716
238	1.783047378
239	1.782084352
240	1.7809849
241	1.780555423
242	1.780100671
243	1.779030101
244	1.778648841
245	1.778359427
246	1.777826451
247	1.777173287
248	1.77595091
249	1.775408414
250	1.774673322
251	1.773683044
252	1.773411058
253	1.772815376
254	1.772621426
255	1.772216554
256	1.771897553
257	1.771301998
258	1.77042384
259	1.769344144
260	1.768601477
261	1.768277028
262	1.767074089
263	1.766671385
264	1.766084866
265	1.76446855
266	1.76400434
267	1.763020557
268	1.762535749
269	1.762101236
270	1.761116104
271	1.760154967
272	1.759618214
273	1.758759579
274	1.758650952
275	1.758217956
276	1.757503977
277	1.756693221
278	1.756101461
279	1.75482195
280	1.753756925
281	1.75289528
282	1.752691193
283	1.752103425
284	1.751170653
285	1.750828069
286	1.749947351
287	1.74884848
288	1.747870692
289	1.746878505
290	1.746231868
291	1.745274377
292	1.744788782
293	1.743187318
294	1.742440285
295	1.741803901
296	1.740870675
297	1.739723797
298	1.73908094
299	1.738337864
300	1.737697182
301	1.73682364
302	1.73622349
303	1.735721737
304	1.735170738
305	1.734784748
306	1.733477137
307	1.73301833
308	1.73221118
309	1.731338167
310	1.73072793
311	1.730110172
312	1.72958588
313	1.728661337
314	1.728331285
315	1.727668338
316	1.726960197
317	1.726334095
318	1.725957511
319	1.725632276
320	1.725023844
321	1.724390132
322	1.724236646
323	1.723008708
324	1.722287245
325	1.721709282
326	1.72092699
327	1.720131602
328	1.720057714
329	1.719792128
330	1.718806173
331	1.717898311
332	1.717811939
333	1.717020803
334	1.716165988
335	1.715974723
336	1.715095315
337	1.714031145
338	1.712977664
339	1.711908657
340	1.711290421
341	1.710478769
342	1.709717053
343	1.709131469
344	1.70868593
345	1.707973012
346	1.707182486
347	1.706327617
348	1.706026554
349	1.705530893
350	1.704964965
351	1.703989108
352	1.703920163
353	1.703617629
354	1.703197384
355	1.701455866
356	1.70007729
357	1.698746773
358	1.697795508
359	1.697601448
360	1.697148143
361	1.696904742
362	1.695882974
363	1.695793941
364	1.695318843
365	1.694922154
366	1.694087271
367	1.693812142
368	1.693320861
369	1.692912901
370	1.691611089
371	1.691478446
372	1.690837574
373	1.690121107
374	1.689698767
375	1.689043818
376	1.687796572
377	1.686940062
378	1.68573302
379	1.68494967
380	1.684454858
381	1.684098805
382	1.683946666
383	1.683479315
384	1.682631194
385	1.682054003
386	1.681530701
387	1.681368596
388	1.680397235
389	1.679858936
390	1.679045934
391	1.678547781
392	1.678029354
393	1.677492679
394	1.676354082
395	1.675824866
396	1.675337271
397	1.674680424
398	1.674435254
399	1.674020216
400	1.673470928
401	1.672412562
402	1.671882929
403	1.671074717
404	1.670553208
405	1.669834267
406	1.66940992
407	1.66863654
408	1.668179588
409	1.667245686
410	1.666479497
411	1.665945619
412	1.665378886
413	1.664898339
414	1.6643769
415	1.663983111
416	1.663360159
417	1.662507821
418	1.661926489
419	1.661504265
420	1.661025047
421	1.660763077
422	1.660103746
423	1.6596934
424	1.659079085
425	1.658776106
426	1.658377834
427	1.657469156
428	1.656684664
429	1.656531586
430	1.655913205
431	1.655676065
432	1.654951652
433	1.654103775
434	1.653501339
435	1.652613252
436	1.652127917
437	1.651834928
438	1.651451284
439	1.650986658
440	1.650822361
441	1.65005267
442	1.64934471
443	1.648831339
444	1.648548636
445	1.647912014
446	1.647365713
447	1.646705931
448	1.646331004
449	1.645996016
450	1.645097059
451	1.644685509
452	1.643935305
453	1.642874721
454	1.642624812
455	1.641866102
456	1.641576212
457	1.640800764
458	1.640157306
459	1.639729357
