iter	Passed	Remaining
0	0	683
1	1	655
2	1	658
3	2	639
4	2	589
5	3	593
6	4	592
7	4	591
8	5	591
9	5	591
10	6	590
11	7	587
12	7	588
13	8	589
14	8	587
15	9	588
16	10	586
17	10	586
18	11	591
19	12	591
20	12	590
21	13	591
22	13	591
23	14	591
24	15	597
25	16	600
26	16	601
27	17	600
28	17	599
29	18	598
30	19	598
31	19	596
32	20	591
33	20	590
34	21	588
35	21	588
36	22	587
37	23	586
38	23	586
39	24	585
40	24	584
41	25	583
42	26	582
43	26	581
44	27	580
45	27	579
46	28	578
47	29	577
48	29	577
49	30	576
50	31	581
51	32	584
52	32	581
53	33	580
54	33	579
55	34	573
56	34	572
57	35	572
58	35	572
59	36	571
60	37	570
61	37	569
62	38	566
63	38	565
64	38	560
65	39	559
66	40	557
67	40	556
68	41	555
69	41	554
70	42	553
71	43	560
72	44	559
73	44	558
74	45	557
75	45	556
76	46	557
77	47	558
78	47	558
79	48	555
80	48	553
81	49	552
82	49	552
83	50	551
84	50	548
85	51	548
86	52	547
87	52	547
88	53	543
89	53	542
90	54	542
91	54	539
92	55	538
93	55	537
94	56	537
95	56	535
96	57	534
97	57	533
98	58	533
99	59	533
100	59	532
101	60	531
102	60	529
103	61	528
104	61	527
105	62	527
106	63	529
107	64	529
108	64	528
109	65	528
110	65	527
111	66	527
112	67	526
113	67	524
114	68	523
115	68	522
116	69	521
117	69	520
118	70	519
119	70	518
120	71	517
121	71	514
122	72	513
123	72	513
124	73	511
125	73	510
126	74	509
127	74	507
128	75	506
129	75	506
130	75	503
131	76	503
132	77	502
133	77	500
134	78	500
135	78	500
136	79	498
137	79	496
138	79	494
139	80	494
140	81	494
141	81	492
142	82	492
143	82	492
144	83	489
145	83	489
146	84	488
147	84	486
148	85	485
149	85	485
150	85	483
151	86	483
152	87	482
153	87	481
154	88	481
155	88	480
156	89	480
157	90	479
158	90	479
159	91	478
160	91	478
161	92	477
162	92	477
163	93	475
164	93	474
165	94	474
166	95	474
167	95	473
168	96	473
169	96	473
170	97	472
171	98	472
172	98	471
173	99	470
174	99	470
175	100	469
176	100	468
177	101	467
178	101	467
179	102	466
180	103	466
181	103	465
182	104	465
183	104	463
184	105	462
185	105	462
186	106	461
187	106	461
188	107	460
189	107	460
190	108	460
191	109	460
192	109	459
193	110	459
194	111	459
195	111	458
196	112	458
197	112	457
198	113	457
199	114	456
200	114	456
201	115	455
202	115	454
203	116	454
204	116	453
205	117	453
206	118	452
207	118	451
208	119	451
209	119	450
210	120	450
211	120	449
212	121	449
213	122	448
214	122	447
215	123	447
216	123	447
217	124	446
218	125	446
219	125	446
220	126	446
221	127	446
222	128	446
223	129	447
224	130	449
225	131	448
226	131	448
227	132	447
228	132	447
229	133	446
230	133	445
231	134	445
232	135	444
233	135	444
234	136	443
235	136	443
236	137	442
237	138	442
238	138	441
239	139	441
240	140	441
241	140	441
242	141	440
243	142	440
244	142	440
245	143	439
246	145	442
247	145	441
248	146	440
249	146	440
250	147	439
251	148	439
252	148	438
253	149	438
254	149	437
255	150	436
256	150	436
257	151	435
258	152	435
259	152	434
260	153	434
261	154	433
262	154	433
263	155	433
264	155	432
265	156	432
266	157	432
267	159	434
268	159	434
269	160	433
270	160	432
271	161	432
272	162	431
273	162	430
274	163	430
275	163	429
276	164	428
277	164	428
278	165	427
279	166	427
280	166	426
281	167	425
282	167	425
283	168	424
284	168	423
285	169	423
286	170	422
287	170	421
288	171	421
289	172	421
290	173	421
291	174	422
292	174	421
293	175	420
294	175	420
295	176	419
296	176	418
297	177	418
298	178	417
299	178	416
300	179	416
301	179	415
302	180	415
303	181	414
304	181	414
305	182	413
306	182	412
307	183	412
308	184	411
309	184	411
310	185	410
311	185	409
312	186	409
313	187	408
314	187	408
315	188	407
316	188	406
317	189	406
318	190	406
319	191	406
320	191	405
321	192	405
322	192	404
323	193	403
324	194	403
325	194	402
326	195	402
327	195	401
328	196	400
329	197	400
330	197	399
331	198	399
332	198	398
333	199	397
334	200	397
335	200	396
336	201	396
337	201	395
338	202	394
339	203	394
340	203	393
341	204	393
342	205	392
343	205	392
344	206	391
345	206	390
346	207	390
347	208	389
348	209	390
349	209	389
350	210	388
351	210	388
352	211	387
353	212	387
354	212	386
355	213	385
356	213	385
357	214	384
358	215	383
359	215	383
360	216	382
361	216	382
362	217	381
363	218	381
364	218	380
365	219	380
366	220	379
367	220	379
368	221	378
369	222	378
370	222	377
371	223	377
372	223	376
373	224	375
374	225	375
375	225	374
376	226	373
377	226	373
378	227	372
379	228	372
380	228	371
381	229	370
382	229	370
